left_force,right_force,sum_force
0.000000,67.904430,67.904430
0.000000,67.621067,67.621067
0.000000,67.219441,67.219441
0.000000,66.830283,66.830283
0.000000,66.633427,66.633427
64.853787,0.000000,64.853787
67.217393,0.000000,67.217393
68.112633,0.000000,68.112633
68.452301,0.000000,68.452301
68.489154,0.000000,68.489154
68.305102,0.000000,68.305102
67.857053,0.000000,67.857053
67.014914,0.000000,67.014914
63.361901,0.000000,63.361901
68.631020,0.000000,68.631020
68.497661,0.000000,68.497661
68.575496,0.000000,68.575496
68.668571,0.000000,68.668571
68.715192,0.000000,68.715192
68.692971,0.000000,68.692971
68.549065,0.000000,68.549065
67.034318,0.000000,67.034318
72.348826,0.000000,72.348826
67.810884,0.000000,67.810884
67.302486,0.000000,67.302486
68.111267,0.000000,68.111267
67.347054,0.000000,67.347054
67.436652,0.000000,67.436652
67.541868,0.000000,67.541868
0.000000,92.052828,92.052828
0.000000,77.700476,77.700476
0.000000,67.974725,67.974725
0.000000,68.331809,68.331809
0.000000,68.611228,68.611228
0.000000,68.687294,68.687294
0.000000,68.565653,68.565653
0.000000,68.230407,68.230407
0.000000,67.592412,67.592412
0.000000,89.041200,89.041200
0.000000,68.405115,68.405115
0.000000,68.658296,68.658296
0.000000,68.562665,68.562665
0.000000,68.645992,68.645992
0.000000,68.711711,68.711711
0.000000,68.703389,68.703389
0.000000,68.590790,68.590790
0.000000,77.035100,77.035100
0.000000,70.755528,70.755528
0.000000,66.862552,66.862552
0.000000,67.154003,67.154003
0.000000,66.430016,66.430016
0.000000,66.465623,66.465623
0.000000,67.348527,67.348527
0.000000,67.657109,67.657109
0.000000,68.484859,68.484859
62.168353,0.000000,62.168353
68.088179,0.000000,68.088179
68.384717,0.000000,68.384717
68.536696,0.000000,68.536696
68.546210,0.000000,68.546210
68.338564,0.000000,68.338564
67.853091,0.000000,67.853091
80.788899,0.000000,80.788899
74.345331,0.000000,74.345331
69.299696,0.000000,69.299696
68.829144,0.000000,68.829144
68.617504,0.000000,68.617504
68.442931,0.000000,68.442931
69.788736,0.000000,69.788736
71.505213,0.000000,71.505213
68.983107,0.000000,68.983107
68.962642,0.000000,68.962642
68.946416,0.000000,68.946416
68.911519,0.000000,68.911519
68.611835,0.000000,68.611835
68.156859,0.000000,68.156859
67.748163,0.000000,67.748163
67.537741,0.000000,67.537741
67.031823,0.000000,67.031823
66.661265,0.000000,66.661265
0.000000,65.300305,65.300305
0.000000,67.920197,67.920197
0.000000,67.844943,67.844943
0.000000,68.383848,68.383848
0.000000,68.599110,68.599110
0.000000,68.572347,68.572347
